Y,X,NHL Player,fWHR,Player Photo
0.832614736,0,Aaron Dell,2.225352113,"<a href=""http://www.espn.com/nhl/player/_/id/2501176""><img src=""../NHL/images2501176.png""></a>"
0.743310658,40,Adam Erne,1.986666667,"<a href=""http://www.espn.com/nhl/player/_/id/3041991""><img src=""../NHL/images3041991.png""></a>"
0.700938603,0,Adam Clendening,1.873417722,"<a href=""http://www.espn.com/nhl/player/_/id/2563024""><img src=""../NHL/images2563024.png""></a>"
0.828117914,18,Adam Gaudette,2.213333333,"<a href=""http://www.espn.com/nhl/player/_/id/3942868""><img src=""../NHL/images3942868.png""></a>"
0.835990646,24,Adam Henrique,2.234375,"<a href=""http://www.espn.com/nhl/player/_/id/5074""><img src=""../NHL/images5074.png""></a>"
0.835600907,44,Adam Larsson,2.233333333,"<a href=""http://www.espn.com/nhl/player/_/id/2562610""><img src=""../NHL/images2562610.png""></a>"
0.775810324,33,Adam Lowry,2.073529412,"<a href=""http://www.espn.com/nhl/player/_/id/2563066""><img src=""../NHL/images2563066.png""></a>"
0.789221939,42,Adam McQuaid,2.109375,"<a href=""http://www.espn.com/nhl/player/_/id/3205""><img src=""../NHL/images3205.png""></a>"
0.836334534,24,Adam Pelech,2.235294118,"<a href=""http://www.espn.com/nhl/player/_/id/3069621""><img src=""../NHL/images3069621.png""></a>"
0.807094266,50,Adrian Kempe,2.157142857,"<a href=""http://www.espn.com/nhl/player/_/id/3114802""><img src=""../NHL/images3114802.png""></a>"
0.7696793,6,Alan Quine,2.057142857,"<a href=""http://www.espn.com/nhl/player/_/id/2563088""><img src=""../NHL/images2563088.png""></a>"
0.779051347,8,Alec Martinez,2.082191781,"<a href=""http://www.espn.com/nhl/player/_/id/3927""><img src=""../NHL/images3927.png""></a>"
0.798860085,8,Aleksander Barkov,2.135135135,"<a href=""http://www.espn.com/nhl/player/_/id/3041970""><img src=""../NHL/images3041970.png""></a>"
0.827345023,22,Alex Iafallo,2.211267606,"<a href=""http://www.espn.com/nhl/player/_/id/3652598""><img src=""../NHL/images3652598.png""></a>"
0.736787023,45,Alex Killorn,1.969230769,"<a href=""http://www.espn.com/nhl/player/_/id/4968""><img src=""../NHL/images4968.png""></a>"
0.763888889,22,Alex Biega,2.041666667,"<a href=""http://www.espn.com/nhl/player/_/id/5462""><img src=""../NHL/images5462.png""></a>"
0.813151927,32,Alex Chiasson,2.173333333,"<a href=""http://www.espn.com/nhl/player/_/id/2590705""><img src=""../NHL/images2590705.png""></a>"
0.920040147,15,Alex DeBrincat,2.459016393,"<a href=""http://www.espn.com/nhl/player/_/id/4063433""><img src=""../NHL/images4063433.png""></a>"
0.90520079,34,Alex Galchenyuk,2.419354839,"<a href=""http://www.espn.com/nhl/player/_/id/2966502""><img src=""../NHL/images2966502.png""></a>"
0.758411473,16,Alex Goligoski,2.027027027,"<a href=""http://www.espn.com/nhl/player/_/id/3757""><img src=""../NHL/images3757.png""></a>"
0.784801726,40,Alex Ovechkin,2.097560976,"<a href=""http://www.espn.com/nhl/player/_/id/3101""><img src=""../NHL/images3101.png""></a>"
